#INPUT: example.wigFix
#phyloP CUTOFF: 3.1
#MIN ECE LENGTH: 50
CHR	START	END	LENGTH
chr1	860247	860330	84
chr1	861299	861383	85
chr1	873180	873242	63
chr1	878680	878741	62
chr1	881862	881916	55
chr1	887459	887510	52
chr1	896735	896930	196
chr1	896988	897132	145
chr1	897173	897435	263
chr1	897732	897826	95
chr1	898077	898302	226
chr1	898460	898638	179
chr1	898714	898894	181
chr1	899291	899395	105
chr1	899468	899562	95
chr1	899725	899915	191
chr1	900318	900573	256
chr1	957626	957735	110
chr1	957761	957844	84
chr1	980744	980909	166
chr1	981110	981197	88
chr1	981537	981606	70
chr1	982737	982828	92
chr1	986646	986695	50
chr1	990233	990291	59
chr1	1152882	1153070	189
chr1	1153914	1153986	73
chr1	1159261	1159311	51
chr1	1190582	1190753	172
chr1	1192363	1192513	151
chr1	1192583	1192669	87
chr1	1198717	1198768	52
chr1	1203235	1203374	140
